entry_time,exit_time,type,entry,tp,sl,exit,lot,pnl,balance,day_pnl,day_loss_count,exit_reason
2025-06-03 21:45:00,2025-06-04 08:15:00,BUY,3353.49,3360.6235714285713,3349.923214285714,3349.923214285714,0.3,-107.00357142857229,9892.996428571427,-107.00357142857229,1,sl
2025-06-04 10:30:00,2025-06-04 13:15:00,BUY,3360.61,3365.9207142857144,3357.954642857143,3357.954642857143,0.3,-79.66071428571468,9813.335714285713,-186.66428571428696,2,sl
2025-06-05 16:45:00,2025-06-05 17:00:00,SELL,3378.23,3373.3114285714287,3380.6892857142857,3373.3114285714287,0.3,147.5571428571402,9960.892857142853,147.5571428571402,0,
2025-06-06 02:15:00,2025-06-06 09:45:00,BUY,3359.34,3364.517142857143,3356.7514285714287,3356.7514285714287,0.3,-77.65714285714239,9883.23571428571,-77.65714285714239,1,sl
2025-06-09 07:30:00,2025-06-09 09:15:00,BUY,3312.22,3318.29,3309.185,3318.29,0.3,182.1000000000049,10065.335714285717,182.1000000000049,0,tp
2025-06-09 23:15:00,2025-06-10 07:15:00,SELL,3325.45,3320.237857142857,3328.056071428571,3308.6744404761903,0.3,503.26678571428596,10568.602500000003,503.26678571428596,0,
2025-06-11 15:30:00,2025-06-11 15:45:00,BUY,3354.32,3359.009285714286,3351.9753571428573,3351.9753571428573,0.3,-70.33928571428532,10498.263214285718,-70.33928571428532,1,sl
2025-06-11 16:45:00,2025-06-11 17:00:00,SELL,3329.9,3325.0514285714285,3332.324285714286,3332.324285714286,0.3,-72.72857142857447,10425.534642857143,-143.0678571428598,2,
2025-06-13 10:00:00,2025-06-13 10:15:00,SELL,3413.12,3403.9449999999997,3417.7075,3417.7075,0.3,-137.62500000000273,10287.90964285714,-137.62500000000273,1,
2025-06-13 11:30:00,2025-06-13 13:15:00,BUY,3423.96,3431.167142857143,3420.3564285714288,3420.3564285714288,0.3,-108.10714285713856,10179.802500000002,-245.7321428571413,2,sl
2025-06-17 15:30:00,2025-06-17 15:45:00,SELL,3385.77,3380.2914285714287,3388.509285714286,3388.509285714286,0.3,-82.1785714285761,10097.623928571425,-82.1785714285761,1,
