ticket,stdSymbol,side,openTime,openPrice,closeTime,closePrice,lots,duration,sl,tp,profit,isRithmic
"2625310","XAUUSD","Sell","2025-07-02 05:55:44","3337.33","2025-07-02 06:22:45","3340.53","0.4","1621","3340.444","3331.476","-128","false"
"2626761","XAUUSD","Sell","2025-07-02 07:00:43","3340.04","2025-07-02 08:23:51","3342.57","0.4","4988","3342.5","3335.033","-101.2","false"
"2629775","XAUUSD","Sell","2025-07-02 10:06:35","3330.26","2025-07-02 10:46:47","3332.96","0.4","2412","3332.751","3325.259","-108","false"
